state_index,state,category,metric,count
6,Rajasthan,2,Employment,11589179
7,Uttar Pradesh,2,Employment,15967953
8,Bihar,2,Employment,9502798
9,Sikkim,2,Employment,113780
10,Arunachal Pradesh,2,Employment,237384
11,Nagaland,2,Employment,426765
12,Manipur,2,Employment,565202
13,Mizoram,2,Employment,195965
14,Tripura,2,Employment,424195
15,Meghalaya,2,Employment,481910
16,Assam,2,Employment,3428130
17,West Bengal,2,Employment,8040308
18,Jharkhand,2,Employment,4673505
19,Orissa,2,Employment,5638934
20,Chhattisgarh,2,Employment,5046359
21,Madhya Pradesh,2,Employment,11427163
22,Gujarat,2,Employment,6766833
23,Maharashtra,2,Employment,16811003
24,Andhra Pradesh,2,Employment,15237311
25,Karnataka,2,Employment,9602481
26,Kerala,2,Employment,3167494
27,Tamil Nadu,2,Employment,11449703
28,Andaman And Nicobar Islands,2,Employment,31646
29,Nct Of Delhi,2,Employment,825023
30,Dadra And Nagar Haveli,2,Employment,51705
31,Goa,2,Employment,157712
32,Pondicherry,2,Employment,112037
