Index,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity
25,MAHARASHTRA,,112374333,58243056,54131277,81554290,45257584,36296706,49427878,32616875,16811003,10211270,18242722,15861646,17831786,10618622,8463507,1209278,82438831,22824116,105262947,61782561,30272010,19912066,407696,15240,61796,70807,132603,29860,23999,53859,31912,40163,72075,43658,317442
26,ANDHRA PRADESH,,84580777,42442146,42138631,50556760,28251243,22305517,39422906,24185595,15237311,9672732,13036342,11566354,9266937,5481749,5069999,687039,54781152,27185233,81966385,45815669,23148452,14845225,771431,19930,46112,34248,80360,5183,3090,8273,3771,5385,9156,6449,124166
27,KARNATAKA,,61095297,30966657,30128640,40647322,22508471,18138851,27872597,18270116,9602481,6004302,12425200,7721533,8431196,4702161,4355748,791768,44431908,15548499,59980407,33676315,16740325,10632806,45851,11566,25778,25473,51251,10663,4970,15633,6956,10222,17178,7569,103198
29,KERALA,,33406061,16027412,17378649,28135824,13704903,14430921,11619063,8451569,3167494,2505698,5405604,6417918,7583656,3808994,2992499,683541,29397910,3633601,33031511,15711427,9796202,7863946,34486,8054,15744,14093,29837,4013,4103,8116,2070,2348,4418,1542,51966
30,TAMIL NADU,,72147030,36137975,36009055,51837507,28040491,23797016,32884681,21434978,11449703,5073396,12042684,11777047,10557632,5628815,7131256,1228196,53439026,14612434,68051460,36336584,21429281,14314360,66805,13319,44103,37180,81283,22188,12888,35076,8312,15348,23660,15362,168697
32,ANDAMAN AND NICOBAR ISLANDS,,380581,202871,177710,294281,164377,129904,152535,120889,31646,34833,60466,71733,61182,43620,28821,4250,304905,68492,373397,204538,119161,56514,368,1879,4069,2741,6810,1073,636,1709,405,737,1142,544,12084
6,NCT OF DELHI,,16787941,8987326,7800615,12737767,7194856,5542911,5587049,4762026,825023,1121440,2459701,2691147,2582915,2134748,2346885,224262,13561098,1982298,15543396,9665080,4762353,2343806,16702,5202,15129,17127,32256,5301,5238,10539,4338,5103,9441,6921,64359
24,DADRA AND NAGAR HAVELI,,586956,344061,242895,411636,267164,144472,278432,226727,51705,35530,104902,70955,73851,41237,30689,6196,363360,122431,485791,378167,154688,53373,728,2217,9044,15971,25015,8977,5452,14429,7493,9900,17393,16029,75083
28,GOA,,1458545,739140,719405,1165487,615823,549664,577248,419536,157712,70842,174560,268661,262876,152299,144241,26180,1099659,188115,1287774,695406,455405,305640,2094,209,738,851,1589,273,325,598,315,368,683,645,3724
31,PONDICHERRY,,1247953,612511,635442,957309,497378,459931,444968,332931,112037,87059,177650,200672,198755,107261,161376,24537,957310,197494,1154804,627771,387613,231468,1101,1937,7324,8011,15335,4775,2854,7629,1974,3417,5391,4679,34971
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NORTH INDI,,456102676,238284834,217817842,260276875,155107837,105169038,161398373,116365363,45033010,69227156,72013300,55294401,40889991,26983173,21909265,2782290,289099576,169046557,458146133,284411659,104662589,64617970,2410458,85715,193778,149174,342952,53245,43510,96755,37136,41745,78881,44457,648738
,EAST INDIA,,137048303,70170234,66878069,90616088,49696178,40919910,53042417,39128778,13913639,16497871,26836479,27476264,11675018,6974874,6353246,887771,96701523,39657872,136359395,78668159,36987701,21241202,151241,23475,55587,40799,96386,18302,11006,29308,6316,11388,17704,9881,166806
,CENTRAL INDIA,,345948384,178321968,167626416,225949403,128686878,97262525,148589846,98226049,50363797,41535084,61196910,43904199,39668955,23405528,19240913,2954743,231906332,98105216,330011548,199584100,89829060,55546802,988422,66140,164887,156976,321863,54031,43558,97589,45047,61052,106099,64564,656267
,SOUTH INDIA,,251229165,125574190,125654975,171177413,92505108,78672305,111799247,72342258,39456989,23256128,42909830,37482852,35839421,19621719,19549502,3390544,182049996,60979767,243029763,131539995,71114260,47656337,918573,52869,131737,110994,242731,42047,25051,67098,21109,33303,54412,30922,448027
,UNION TERRITORIES,,20461976,10885909,9576067,15566480,8739598,6826882,7040232,5862109,1178123,1349704,2977279,3303168,3179579,2479165,2712012,285425,16286332,2558830,18845162,11570962,5879220,2990801,20993,11444,36304,44701,81005,20399,14505,34904,14525,19525,34050,28818,190221
